DATE;Levegő páratartalom;Talaj nedvesség 60 cm;Légnyomás;Levegő hőmérséklet;Napelem töltő feszültség;Külső akkufeszültség;Csapadék;Talaj hőmérséklet 0 cm;Szél irány;Belső akkufeszültség;Csapadék Számláló;Levél nedvesség;Besugárzás;Szél lökés;Talaj nedvesség 90 cm;Fény egység;Talaj nedvesség 120 cm;Fagy;Szél sebesség;Talaj nedvesség 30 cm
2020. 12. 31. 22:00;95,69333;21,14533;1001,51666;4,2833333;0;11,607666;0,036166664;5,7833333;339,84283;3,8713334;;10;0;5,8333335;17,952166;649,1667;0;;1,1666666;19,201666
2020. 12. 31. 23:00;95,45501;20,748663;1001,66675;3,95;0;11,605832;0;5,633333;358,51706;3,8715;;10;0;5,5;17,614996;954,3333;0;;0,6666667;18,626497
2021. 1. 1. 0:00;95,12333;20,232996;1002,03326;3,75;0;11,593667;0;5,5499997;13,850575;3,8706665;;10;0;5,5;17,059664;0;0;;1,1666666;18,447998
2021. 1. 1. 1:00;95,043335;19,77683;1002,4334;3,3999999;0;11,595;0;5,4166665;39,844067;3,8713331;;10;0;4,6666665;16,484499;0;0;;0,5;18,249662
2021. 1. 1. 2:00;95,04;19,459497;1002,84;2,48;0;11,578167;0;5,2666664;58,42467;3,8703334;;10;0;5,8333335;16,02833;1301,6666;0;;1;17,9482
2021. 1. 1. 3:00;95,59;19,185797;1003,0334;1,1166667;0;11,578;0;5;67,09925;3,8704998;;10;0;5,6;15,687198;649,1667;0;;1,4;17,793495
2021. 1. 1. 4:00;96,68334;19,06283;1003,3833;0,5833333;0;11,565666;0;4,7666664;43,577866;3,8711665;;10;0;7;15,512664;653,1667;0;;1,8333334;16,603498
2021. 1. 1. 5:00;96,53001;18,864496;1003,91675;0,21666668;0,63566667;11,564;0;4,4833336;50,68751;3,8704998;;10;0;6,6666665;15,294498;650,5;0;;2,1666667;16,405165
2021. 1. 1. 6:00;95,885;18,745497;1004,3667;0,5;13,706;11,545333;0;4,2999997;57,151226;3,8725002;;10;5,8333335;4,3333335;15,115997;1,8333334;0;;0,8333333;16,286165
2021. 1. 1. 7:00;95,55833;18,64633;1004,6833;1,0833334;16,768;11,560666;0;4,2999997;64,35722;3,8708332;;10;28,333334;4,3333335;14,977164;30,833334;0;;1;16,147331
2021. 1. 1. 8:00;90,458336;18,487665;1005,1333;3,1166668;16,779833;11,606999;0;4,3333335;112,46352;3,8795002;;10;145;4,8333335;14,7788315;1364,3334;0;;0,8333333;15,909331
2021. 1. 1. 9:00;81,58401;18,269497;1005,36005;5,72;16,848333;12,037833;0;4,5499997;121,67267;3,9493332;;0;250;5,4;14,461498;452,83334;0;;0,8;15,512664
2021. 1. 1. 10:00;82,855;17,872831;1005,2666;5,7666664;16,78;11,950667;0;4,9666667;60,496887;3,944167;;0;113,333336;5;14,044997;67,166664;0;;0,33333334;15,016831
2021. 1. 1. 11:00;85,24334;17,75383;1004,9666;5,9499993;16,768;11,898167;0;5,316667;53,272026;3,9343336;;0;91,666664;5;13,687999;52,5;0;;0,33333334;14,739165
2021. 1. 1. 12:00;84,54667;17,614998;1005,08344;6,7000003;16,773664;11,906667;0;5,48;64,663086;3,9353333;;0;90,833336;6,5;13,402397;955,1667;0;;0,33333334;14,497198
2021. 1. 1. 13:00;85,81333;17,535664;1005,26666;7,066666;16,533333;11,850833;0;5,633333;50,42771;3,9336665;;0;45;5;13,231831;966,1667;0;;0;14,362331
2021. 1. 1. 14:00;86,605;17,456331;1005,3333;7,2166667;14,993333;11,772167;0;5,733333;96,63943;3,934;;0;17,5;4,3333335;13,092998;3,8333333;0;;0,16666667;14,203664
2021. 1. 1. 15:00;85,61667;17,416664;1005,6333;6,9666667;2,8526669;11,732833;0;5,7499995;79,6781;3,9333334;;0;0;4,8333335;12,934331;0;0;;0,16666667;14,144165
2021. 1. 1. 16:00;83,775;17,39683;1005,9333;6,516667;0;11,713833;0;5,6;90,53876;3,9321668;;0;0;4,8;12,854997;0;0;;0;14,00533
2021. 1. 1. 17:00;87,785995;17,317495;1006,3;6,02;0;11,680167;0;5,566667;83,2748;3,9318333;;0;0;4,6666665;12,775664;943,5;0;;0,16666667;13,965664
2021. 1. 1. 18:00;88,579994;17,257998;1006,6167;5,3333335;0;11,665334;0;5,4166665;106,73458;3,9326668;;0;0;5,5;12,676497;1,6666666;0;;0,33333334;13,886331
2021. 1. 1. 19:00;87,025;17,21833;1006,94995;4,7166667;0;11,639;0;5,2833333;77,17918;3,9325;;0;0;4,3333335;12,616998;0;0;;0,16666667;13,806998
2021. 1. 1. 20:00;85,65667;17,178665;1007,2834;4,4166665;0;11,624;0;5,133333;81,15255;3,9323332;;0;0;6,3333335;12,577331;0;0;;0,5;16,38533
2021. 1. 1. 21:00;86,011665;17,138998;1007,5334;4,316666;0;11,5955;0;5,06;133,13814;3,9326665;;0;0;4,6666665;12,593198;649,1667;0;;0,33333334;16,32583
2021. 1. 1. 22:00;85,84;17,119165;1007,68335;3,9499998;0;11,599334;0;4,933333;64,64642;3,9323337;;0;0;4,8333335;12,577331;3,6666667;0;;0;13,648331
2021. 1. 1. 23:00;86,19;17,039831;1007,80005;3,1833334;0;11,587833;0;4,8333335;143,01848;3,9315002;;0;0;4,8;12,497997;0;0;;0,4;16,286165
2021. 1. 2. 0:00;84,04667;17,019997;1008,14996;3,0333335;0;11,576833;0;4,65;226,34332;3,930833;;0;0;5,1666665;12,438497;0;0;;0,5;16,186998
2021. 1. 2. 1:00;81,36201;16,960497;1008,48;3,2599998;0;11,560166;0;4,6;100,63578;3,930833;;0;0;6,6666665;12,398831;0;0;;1;16,167166
2021. 1. 2. 2:00;81,083336;16,881165;1008,43335;3,1833334;0;11,558833;0;4,5;92,6287;3,9325;;0;0;5,5;12,438497;304,66666;0;;0,33333334;16,067995
2021. 1. 2. 3:00;82,689995;16,801832;1008,2834;2,6166668;0;11,477166;0;5,6;151,35837;3,7851665;;0;0;7,5;12,378998;649,1667;0;;1;16,067995
2021. 1. 2. 4:00;83,386665;16,762163;1008,21674;2,3666668;0;11,548167;0;5,5;108,90757;3,9325001;;0;0;8,666667;12,279831;305,5;0;;1,5;16,067995
2021. 1. 2. 5:00;82,28834;16,781998;1008,4333;2,6499999;0,83916664;11,525333;0;5,4500003;65,01537;3,9309998;;0;0;6,6;12,2996645;649,1667;0;;1;15,9489975
2021. 1. 2. 6:00;83,125;16,781998;1008,73334;2,75;14,96;11,537499;0;5,4;73,72675;3,9316664;;0;16,666666;7,6666665;12,259997;297,83334;0;;1,1666666;15,9489975
2021. 1. 2. 7:00;81,08667;16,781998;1008,9666;3,7833335;16,769999;11,576667;0;5,4;68,85106;3,9316664;;0;62;8,333333;12,2996645;34,166668;0;;1,6666666;15,9489975
2021. 1. 2. 8:00;80,138;16,762163;1009,12;4,56;16,787333;11,710167;0;5,3500004;166,12825;3,9388335;;0;120,833336;8,666667;12,398831;102;0;;2,3333333;15,929165
2021. 1. 2. 9:00;74,083336;16,821665;1009,0833;7,2833333;16,899166;12,192666;0;5,2999997;131,30324;4,0106664;;0;267,5;10,333333;12,319499;211,83333;0;;2,3333333;15,869663
2021. 1. 2. 10:00;70,74833;16,801832;1008,3333;9,183333;16,914833;12,274667;0;4,9333334;129,30063;4,0678334;;0;286,66666;12;12,478165;272,33334;0;;2,5;15,849831
2021. 1. 2. 11:00;64,99834;16,762163;1007,2834;10,799999;16,961834;12,434334;0;5,2999997;107,750145;4,1276665;;0;310,83334;10,833333;12,438497;1234,1666;0;;3;13,489665
2021. 1. 2. 12:00;64,97666;16,762163;1006,8166;10,966666;16,758333;12,013667;0;5,316666;109,48986;4,1089997;;0;135,83333;9,6;12,319497;236,66667;0;;2,4;15,829997
2021. 1. 2. 13:00;64,495;16,68283;1006,71674;10,983334;16,750334;11,960834;0;5,4;132,33568;4,1065;;0;65,833336;9,166667;12,2996645;181,16667;0;;2;15,829997
2021. 1. 2. 14:00;65,52333;16,643164;1006,81665;10,083333;14,768333;11,8966675;0;5,4;114,49286;4,1056666;;0;15;7,8333335;12,259997;11,166667;0;;1,3333334;15,829997
2021. 1. 2. 15:00;67,378334;16,662996;1006,64996;8,966666;3,038167;11,882;0;5,4;66,7457;4,104;;0;0,8333333;7,3333335;12,160831;0;0;;1,6666666;15,770497
2021. 1. 2. 16:00;67,45;16,662998;1006,6667;8,266666;0;11,852833;0;5,4833336;136,18839;4,103167;;0;0;10,666667;12,117198;2,1666667;0;;2;15,710998
2021. 1. 2. 17:00;67,18;16,603495;1006,42004;7,7399993;0;11,841666;0;5,483333;110,4059;4,1018333;;0;0;9,666667;12,002164;649,1667;0;;2,5;15,730831
2021. 1. 2. 18:00;71,30333;16,56383;1006,48334;6,6666665;0;11,822833;0;5,3500004;139,15887;4,1038337;;0;0;9,666667;11,902999;0;0;;1,8333334;15,710998
2021. 1. 2. 19:00;71,9;16,543997;1006,18335;6,2666664;0;11,814;0;5,1833334;121,3574;4,1008334;;0;0;9,5;11,883164;1;0;;2,1666667;15,631664
2021. 1. 2. 20:00;73,85167;16,484495;1006,05;5,383333;0;11,800667;0;5,0666666;136,24646;4,1028333;;0;0;10;11,843498;296,5;0;;1,8;12,973998
2021. 1. 2. 21:00;74,66166;16,424997;1005,89996;4,8333335;0;11,787666;0;5,5;102,97995;4,1006665;;0;0;8,833333;11,883163;304,83334;0;;1,8333334;15,591996
2021. 1. 2. 22:00;74,66334;16,365498;1005,6167;4,5333333;0;11,777835;0;5,4166665;135,27551;4,1026664;;0;0;7,6666665;11,724498;0;0;;1,6666666;15,591996
2021. 1. 2. 23:00;75,21333;16,405165;1005,35004;4,3666663;0;11,772;0;4,683333;119,71758;4,1018333;;0;0;9,833333;11,783998;0;0;;2,1666667;18,804995
2021. 1. 3. 0:00;77,355;16,464664;1005,36664;4,2833333;0;11,754001;0;4,6;129,14917;4,103667;;0;0;7,8333335;11,942664;652,5;0;;1,8333334;18,745497
2021. 1. 3. 1:00;78,208;16,385332;1005;4,3599997;0;11,753333;0;4,55;80,53196;4,1015;;0;0;10,333333;11,843498;5,1666665;0;;2,6666667;18,685997
2021. 1. 3. 2:00;79,99833;16,401196;1004,6667;4,466667;0;11,7405;0;4,52;142,94833;4,1011667;;0;0;7,8;11,831597;0;0;;1,6;18,685997
2021. 1. 3. 3:00;82,02833;16,44483;1004,26666;5,133333;0;11,732333;0;4,633333;139,40933;4,1019998;;6,6666665;0;11;11,80383;649,1667;0;;2,5;18,646332
2021. 1. 3. 4:00;86,31667;16,424997;1004,01666;4,8999996;0;11,723166;0;4,7000003;199,48325;4,101667;;10;0;6,3333335;11,823665;294,5;0;;1,5;18,567
2021. 1. 3. 5:00;86,805;16,44483;1004,48334;5,316666;0,21716666;11,713001;0;4,7666664;55,694267;4,1003337;;1,6666666;0;6,1666665;11,783998;0;0;;1;18,566998
2021. 1. 3. 6:00;86,86667;16,44483;1005;5,5499997;12,0408325;11,700833;0;4,7999997;109,71945;4,1018333;;0;4,1666665;6;11,843497;0;0;;1;18,567
2021. 1. 3. 7:00;86,58667;16,44483;1005,35004;6,2999997;16,766;11,714334;0;4,9;115,12671;4,103;;0;35,833332;7,1666665;11,902999;19;0;;1,3333334;18,487665
2021. 1. 3. 8:00;83,840004;16,484497;1005,24994;7,15;16,77;11,755668;0;5,15;77,46586;4,102667;;0;67,5;10,5;11,922832;1327,5;0;;2,3333333;15,353997
2021. 1. 3. 9:00;82,66;16,563831;1005,05994;7,7400002;16,7895;11,820667;0;5,383333;86,467155;4,1241665;;0;116,666664;11,2;11,823666;92,666664;0;;2,2;15,413498
2021. 1. 3. 10:00;81,291664;16,563831;1004,48334;8,3;16,778;11,874333;0;5,683334;77,739655;4,118;;0;107,5;9,333333;11,863332;700;0;;2;15,472999
2021. 1. 3. 11:00;82,450005;16,472597;1004,14996;8,416667;16,76;11,807666;0;5,8;29,19131;4,116833;;0;58,333332;6,6666665;11,831597;38;0;;1;18,34883
2021. 1. 3. 12:00;79,32166;16,464663;1004,35004;9,433333;16,768;11,881333;0;5,933333;83,62315;4,1165;;0;113,333336;6,5;11,902999;160,33333;0;;1,1666666;18,328997
2021. 1. 3. 13:00;77,128334;16,504332;1004,3;9,899999;16,764;11,851666;0;6,1;161,38445;4,1155;;0;65;6,3333335;11,664998;415,5;0;;1,5;18,328997
2021. 1. 3. 14:00;81,53001;16,464663;1004,44995;9,283333;15,791665;11,809001;0;6,1;73,61775;4,115;;0;35,833332;5,5;11,704665;32,833332;0;;0,6666667;18,328997
2021. 1. 3. 15:00;87,17999;16,524164;1004,7;8,066667;3,4628334;11,752833;0;5,983333;82,109375;4,1143336;;1,6666666;0,8333333;2,3333333;11,664998;0;0;;0;18,249662
2021. 1. 3. 16:00;87,73501;16,504332;1004,8;7,883333;0;11,740666;0;5,7999997;108,00008;4,1148334;;0;0;8,166667;11,744331;649,1667;0;;1,1666666;15,353997
2021. 1. 3. 17:00;86,295006;16,464664;1004,5833;7,8000007;0;11,717;0;5,7999997;13,361013;4,1148334;;0;0;6,8;11,764164;0;0;;1,2;15,353997
2021. 1. 3. 18:00;87,07001;16,484497;1004,9167;7,6000004;0;11,7085;0;5,7333336;93,12484;4,1138334;;0;0;8,333333;11,764164;4;0;;1,6666666;15,314331
2021. 1. 3. 19:00;88,67601;16,424997;1005,2;6,8199997;0;11,699833;0;5,6;137,61241;4,1130004;;1,6666666;0;3,1666667;11,704665;0;0;;0;15,254832
2021. 1. 3. 20:00;87,70333;16,424997;1005,6333;6,7166667;0;11,686666;0;5,433333;70,19987;4,1143336;;3,3333333;0;6,3333335;11,6451645;0;0;;0,8333333;17,971998
2021. 1. 3. 21:00;87,99334;16,44483;1005,5667;6,6333337;0;11,675;0;5,4166665;102,954956;4,114;;0;0;6;11,684831;0;0;;0,6666667;17,971998
2021. 1. 3. 22:00;88,27833;16,472597;1005,4167;6,883333;0;11,668667;0;5,4399996;157,41887;4,113834;;0;0;7,3333335;11,736398;0;0;;1,3333334;17,952166
2021. 1. 3. 23:00;87,71;16,424997;1004,8167;7,1000004;0;11,658334;0;5,5;99,64189;4,1135;;0;0;8,333333;11,744331;3,6666667;0;;1,8333334;17,971998
2021. 1. 4. 0:00;89,19501;16,44483;1004,99994;6,5;0;11,653167;0;5,6;86,268196;4,111833;;0;0;9,4;11,724498;0;0;;1,6;17,912498
2021. 1. 4. 1:00;90,04;16,38533;1005,05;6,2166667;0;11,642166;0;5,6;138,95963;4,113;;0;0;6,3333335;11,684831;1298,3334;0;;0,6666667;17,852997
2021. 1. 4. 2:00;91,28833;16,405165;1004,94995;5,7833333;0;11,633834;0;5,6;92,49413;4,1129994;;0;0;3,1666667;11,724498;302,16666;0;;0;17,852997
2021. 1. 4. 3:00;92,074;16,345663;1004,93994;5,46;0;11,634501;0;5,6;94,01764;4,112167;;10;0;1,1666666;11,764164;649,8333;0;;0;17,833162
2021. 1. 4. 4:00;93,26666;16,405165;1004,75;4,9833336;0;11,618667;0;5,6;93,60685;4,1145;;10;0;0,33333334;11,783998;0;0;;0;15,155665
2021. 1. 4. 5:00;94,44166;16,424997;1004,6667;4,65;0,34216666;11,613335;0;5,5333333;93,60685;4,1131663;;10;0;1,3333334;11,863331;0;0;;0;15,135831
2021. 1. 4. 6:00;94,96167;16,345665;1005,05005;4,166667;12,852666;11,598167;0;5,5;93,60685;4,111833;;10;5,8333335;0,16666667;11,942665;0,8333333;0;;0;15,135831
2021. 1. 4. 7:00;94,03;16,424997;1005,31665;4,866667;16,764166;11,621333;0;5,5;93,60685;4,1130004;;10;40,833332;1,6;11,807797;19,333334;0;;0;15,115997
2021. 1. 4. 8:00;92,291664;16,424997;1005,3;5,7499995;16,787666;11,7439995;0;5,4;93,8417;4,113333;;10;100,833336;1,3333334;11,783998;711,5;0;;0;17,733995
2021. 1. 4. 9:00;88,11167;16,424997;1004,73334;7,2833333;16,805502;11,955833;0;5,4;109,01074;4,1208334;;3,3333333;145;1,8333334;11,80383;748,1667;0;;0;17,714165
2021. 1. 4. 10:00;81,99167;16,484497;1003,7;9,2;16,775833;11,979;0;5,4;117,30199;4,1405;;0;170;1,6666666;11,80383;102,333336;0;;0;17,614998
2021. 1. 4. 11:00;84,398;16,38533;1003,16;8,82;16,770166;11,884;0;5,4;121,87745;4,1299996;;0;75,833336;1,5;11,783998;684;0;;0;17,614998
2021. 1. 4. 12:00;88,86667;16,464664;1002,86664;8,2;16,241667;11,7803335;0,043399997;5,48;137,15904;4,1285;;8,333333;25;3;12,081497;3,3333333;0;;0;17,614998
2021. 1. 4. 13:00;94,10834;17,555496;1002,9167;7,3666663;16,0735;11,746834;0;5,5;150,31017;4,1291666;;10;20,833334;3,1666667;13,767331;315,5;0;;0,16666667;15,234998
2021. 1. 4. 14:00;95,1;17,81333;1002,6333;7,2000003;12,312833;11,717166;0;5,566666;164,73254;4,1286664;;10;5,8333335;2,8;14,302831;948,1667;0;;0;15,294498
2021. 1. 4. 15:00;95,52;18,348831;1002,39996;7,15;1,3831667;11,697;0;5,6;180,1759;4,128333;;10;0;2;14,7788315;3,6666667;0;;0;15,453166
2021. 1. 4. 16:00;95,98167;18,52733;1002,0833;7,0166664;0;11,673833;0;5,6;10,500791;4,1271667;;10;0;2,1666667;15,056499;542;0;;0;18,28933
2021. 1. 4. 17:00;96,21166;19,023165;1001,50006;6,8333335;0;11,647334;0,07233333;5,6;296,6604;4,1281667;;10;0;3,8333333;15,413498;0;0;;0,8333333;18,40833
2021. 1. 4. 18:00;96,54667;19,590397;1001,18335;6,7000003;0;11,631833;0,036166664;5,6;286,94556;4,127333;;10;0;4;15,925199;10,166667;0;;0,8333333;18,626497
2021. 1. 4. 19:00;96,75833;19,518997;1000,7166;6,65;0;11,612334;0;5,616667;284,1267;4,1258335;;10;0;3,3333333;16,008497;303,83334;0;;0,5;18,82483
2021. 1. 4. 20:00;96,892006;19,320663;1000,6;6,4;0;11,6103325;0;5,7;263,288;4,1275;;10;0;6,3333335;15,869663;297,5;0;;2,1666667;18,923998
2021. 1. 4. 21:00;97,12167;19,181831;1000,00006;6,366667;0;11,594334;0;5,7000003;271,7237;4,1271663;;10;0;6,8;15,710998;0;0;;2,4;16,206831
2021. 1. 4. 22:00;97,276665;19,77683;999,6501;6,4;0;11,592334;0;5,7000003;267,04337;4,126;;10;0;8,166667;16,107664;947,1667;0;;3;16,26633
2021. 1. 4. 23:00;97,25833;19,518997;999,51666;6,3500004;0;11,587833;0;5,7166667;283,13492;4,125;;10;0;6,1666665;15,929164;10,666667;0;;2;16,305998
2021. 1. 5. 0:00;97,136665;19,796663;999,60004;6,266667;0;11,5845;0;5,766667;267,10394;4,1248336;;10;0;7,8333335;16,32583;945,8333;0;;2,3333333;16,345665
2021. 1. 5. 1:00;96,986664;19,518997;999,6667;6,25;0;11,5715;0;5,7999997;317,4256;4,1254997;;10;0;9,333333;16,206831;649,1667;0;;3,1666667;16,424997
2021. 1. 5. 2:00;96,763336;19,36033;999,73334;6,2000003;0;11,573001;0;5,7999997;312,1469;4,125833;;10;0;11,833333;15,909329;296;0;;2,6666667;16,424997
2021. 1. 5. 3:00;96,50167;19,538832;999,5334;6,0333333;0;11,566501;0;5,7999997;316,4143;4,124167;;10;0;11,5;16,048164;947,3333;0;;3;16,524164
2021. 1. 5. 4:00;96;19,161999;999,94006;5,7799997;0;11,565166;0;5,7999997;124,17543;4,1243334;;10;0;7,2;15,925199;649,1667;0;;1,8;16,464663
2021. 1. 5. 5:00;95,135;18,864496;1000,5833;5,5;0,2835;11,556167;0;5,8;82,32382;4,125;;10;0;7,1666665;15,750664;0;0;;1,8333334;16,424997
2021. 1. 5. 6:00;93,95501;18,626497;1001,1501;5,316666;10,867001;11,553333;0;5,7999997;40,099274;4,126167;;10;2,5;7;15,453164;649,1667;0;;1,5;16,345665
2021. 1. 5. 7:00;92,40333;18,40833;1001,66656;5,183333;16,087166;11,547166;0;5,7999997;358,83844;4,1254997;;12;23,333334;8,333333;15,115998;7;0;;1,6666666;16,266333
2021. 1. 5. 8:00;91,495;18,090998;1002,25;5,2000003;16,774;11,574833;0;5,7999997;22,693815;4,1253333;;10;51,666668;7,8333335;14,758998;19,666666;0;;1,6666666;16,206831
2021. 1. 5. 9:00;90,62333;17,773664;1002,71674;4,983333;16,766;11,574833;0;5,7999997;357,95883;4,1256666;;3,3333333;53,333332;8;14,302831;21,166666;0;;2,3333333;16,167164
2021. 1. 5. 10:00;88,825005;17,416664;1002,5833;5,266667;16,778;11,702334;0;5,7999997;357,75507;4,1264997;;0;113,333336;8,833333;13,826831;65,666664;0;;2,6666667;16,186998
2021. 1. 5. 11:00;88,665;17,198498;1002,6333;5,5166664;16,766167;11,720166;0;5,7999997;87,44759;4,126833;;0;86,666664;9,2;13,330997;690,5;0;;2,2;14,282997
2021. 1. 5. 12:00;88,15;17,158833;1003,02;5,38;16,764;11,723001;0;5,7999997;345,02563;4,1270003;;0;77,5;9,166667;13,132665;1325,8334;0;;2;14,124331
2021. 1. 5. 13:00;89,005005;17,091398;1003,4666;4,7999997;16,695665;11,651166;0;5,8;344,8621;4,124;;0;31,666666;8,5;12,926397;1614,1666;0;;2,1666667;13,949797
2021. 1. 5. 14:00;89,70166;17,019997;1004,06665;4,5333333;13,109;11,591167;0;5,7999997;15,857376;4,1266665;;0;10;7;12,716164;2,1666667;0;;1,1666666;13,787166
2021. 1. 5. 15:00;90,753334;16,920832;1004,64996;4,0833335;1,7449999;11,549;0;5,7999997;51,656727;4,1264997;;0;0;9,666667;12,616998;1957,5;0;;2,5;13,707829
2021. 1. 5. 16:00;91,57499;16,901;1005,05;3,6166668;0;11,538666;0;5,7999997;38,466;4,1256666;;0;0;8;12,51783;653,6667;0;;1,6666666;13,648331
2021. 1. 5. 17:00;91,56167;16,86133;1005,01666;3,4666665;0,015500001;11,5205;0;5,7999997;94,67414;4,126833;;0;0;1,6666666;12,497997;293,33334;0;;0;13,608665
2021. 1. 5. 18:00;92,29834;16,86133;1005,31665;3,1833334;0;11,523;0;5,7999997;63,040703;4,1254997;;0;0;4,2;12,458331;659,1667;0;;0,8;13,549164
2021. 1. 5. 19:00;93,704994;16,821665;1005,3499;3,1499999;0;11,513835;0;5,7999997;53,577824;4,1245003;;0;0;4,6666665;12,398831;0;0;;0,16666667;13,549165
2021. 1. 5. 20:00;93,732;16,801832;1005,48;3,58;0;11,508667;0;5,7000003;90,97849;4,125;;0;0;4,1666665;12,398831;649,1667;0;;0;13,529331
2021. 1. 5. 21:00;92,685;16,781998;1005,35004;3,7;0;11,503166;0;5,7;97,8532;4,124;;0;0;4,5;12,378998;1;0;;0;13,529331
2021. 1. 5. 22:00;93,80667;16,781998;1005,21674;3,5;0;11,495833;0;5,683334;127,327805;4,1248336;;0;0;5,5;12,378998;0;0;;0,6666667;13,497599
2021. 1. 5. 23:00;95,00666;16,762163;1004,55;3,25;0;11,499332;0;5,6666665;150,8883;4,124167;;0;0;6;12,339332;649,1667;0;;0,6666667;18,428164
2021. 1. 6. 0:00;94,86834;16,702665;1004,3499;2,6;0;11,488167;0;5,6;183,86316;4,125;;0;0;6,6;12,398831;292,5;0;;1,2;18,388496
2021. 1. 6. 1:00;96,174995;16,68283;1003,9666;2,2333333;0;11,486835;0;5,6;167,81506;4,1253333;;5;0;6;12,339332;1298,3334;0;;1,3333334;18,328997
2021. 1. 6. 2:00;96,41333;16,68283;1003,4001;2,0333333;0;11,470666;0;5,6;162,01091;4,124167;;10;0;5,1666665;12,2996645;9,666667;0;;0,8333333;18,328997
